后肘,8.00,8.50,9.00,猪肉类,斤,2021-06-29
猪尾巴,40.00,40.00,40.00,猪肉类,斤,2021-06-29
猪蹄,18.00,18.00,18.00,猪肉类,斤,2021-06-29
纯排骨,20.00,21.00,22.00,猪肉类,斤,2021-06-29
纯腔骨,8.00,9.00,10.00,猪肉类,斤,2021-06-29
腔排骨,13.00,14.00,15.00,猪肉类,斤,2021-06-29
棒骨,9.00,9.50,10.00,猪肉类,斤,2021-06-29
猪头,11.00,11.00,11.00,猪肉类,斤,2021-06-29
猪口条,16.00,16.00,16.00,猪肉类,斤,2021-06-29
猪耳,26.00,26.00,26.00,猪肉类,斤,2021-06-29
猪脑,32.00,35.00,38.00,猪肉类,斤,2021-06-29
猪肚,17.00,17.00,17.00,猪肉类,斤,2021-06-29
猪板油,8.00,8.00,8.00,猪肉类,斤,2021-06-29
肥膘肉,5.00,5.50,6.00,猪肉类,斤,2021-06-29
猪腰子,15.00,15.00,15.00,猪肉类,斤,2021-06-29
猪心,7.00,7.50,8.00,猪肉类,斤,2021-06-29
猪肝,6.00,6.00,6.00,猪肉类,斤,2021-06-29
猪肺,4.00,4.00,4.00,猪肉类,个,2021-06-29
樱西,2.60,2.80,3.00,小红,斤,2021-06-30
黄瓜,0.50,0.75,1.00,蒙辽袋鲁,斤,2021-06-30
黄瓜(鲜干花),0.80,1.00,1.20,冀,斤,2021-06-30
小黄瓜,2.00,2.50,3.00,旱荷兰,斤,2021-06-30
茄子,0.60,0.80,1.00,冀,斤,2021-06-30
长茄,0.80,1.00,1.20,辽,斤,2021-06-30
广茄,1.00,1.35,1.70,冀京,斤,2021-06-30
线茄,1.00,1.50,2.00,冀,斤,2021-06-30
吊冬瓜,0.60,0.65,0.70,冀,斤,2021-06-30
地冬瓜,0.50,0.55,0.60,冀,斤,2021-06-30
小毛冬瓜,0.80,1.00,1.20,冀长,斤,2021-06-30
架豆,1.80,3.65,5.50,冀新,斤,2021-06-30
豆王,1.80,3.65,5.50,普通,斤,2021-06-30
扁豆,2.00,3.25,4.50,冀鲁聊城,斤,2021-06-30
豇豆,1.80,2.40,3.00,鲁京,斤,2021-06-30
白不老,1.60,2.15,2.70,滇|鲁,斤,2021-06-30
锅里变架豆,1.00,1.25,1.50,普通,斤,2021-06-30
油豆,2.00,2.60,3.20,鲁,斤,2021-06-30
毛豆,2.50,2.90,3.30,普通,斤,2021-06-30
豌豆,3.50,3.55,3.60,普通,斤,2021-06-30
豆腐皮,5.50,5.50,5.50,豆制品,斤,2021-06-30
豆腐干,4.50,4.50,4.50,豆制品,斤,2021-06-30
精品豆腐干,5.00,5.00,5.00,豆制品,袋,2021-06-30
豆腐泡,5.50,5.50,5.50,豆制品,斤,2021-06-30
精品豆腐泡,5.00,5.00,5.00,豆制品,袋,2021-06-30
白玉内酯豆腐,2.50,2.50,2.50,豆制品,盒,2021-06-30
香香内脂豆腐,1.50,1.50,1.50,豆制品,盒,2021-06-30
白条猪（瘦）,10.75,10.75,10.75,猪肉类,斤,2021-06-30
白条猪（肥）,8.75,8.75,8.75,猪肉类,斤,2021-06-30
前臀尖（瘦）,9.00,10.00,11.00,猪肉类,斤,2021-06-30
前臀尖（肥）,8.00,8.50,9.00,猪肉类,斤,2021-06-30
后臀尖（瘦）,9.00,10.00,11.00,猪肉类,斤,2021-06-30
后臀尖（肥）,8.00,8.50,9.00,猪肉类,斤,2021-06-30
五花肉（瘦）,11.00,11.50,12.00,猪肉类,斤,2021-06-30
